160;509;1950
105;697;1950
113;630;1950
107;537;1950
150;529;1950
113;611;1950
113;799;1950
113;615;1950
161;798;1950
162;729;1950
105;731;1950
105;800;1950
159;797;1950
158;796;1950
113;659;1950
105;677;1950
113;771;1950
113;732;1950
116;653;1950
157;520;1950
110;526;1950
113;658;1950
6;791;1950
51;786;1950
161;803;1950
113;529;1950
151;666;1950
105;788;1950
163;697;1950
105;756;1950
51;763;1950
105;740;1950
154;765;1950
51;686;1950
51;641;1950
154;764;1950
6;802;1950
105;686;1950
154;801;1950
154;793;1950
154;774;1950
154;773;1950
105;780;1950
154;501;1950
126;776;1950
6;793;1950
6;647;1950
151;790;1950
151;661;1950
154;789;1950
105;589;1950
105;640;1950
126;785;1950
105;747;1950
105;669;1950
129;518;1950
51;579;1950
154;660;1950
105;778;1950
105;784;1950
154;741;1950
151;787;1950
151;619;1950
154;627;1950
154;704;1950
113;772;1950
105;498;1950
6;633;1950
156;795;1950
113;559;1950
138;555;1950
110;726;1950
113;654;1950
119;766;1950
113;794;1950
113;770;1950
150;768;1950
113;593;1950
105;792;1950
6;687;1950
87;501;1950
105;762;1950
141;427;1950
141;626;1950
51;642;1950
150;701;1950
154;589;1951
51;786;1951
6;686;1951
154;774;1951
141;775;1951
141;427;1951
141;609;1951
141;626;1951
105;670;1951
105;640;1951
6;498;1951
154;773;1951
154;429;1951
107;728;1951
105;732;1951
150;772;1951
110;726;1951
111;657;1951
113;629;1951
139;449;1951
113;771;1951
113;733;1951
51;756;1951
113;729;1951
113;675;1951
105;782;1951
105;669;1951
154;783;1951
105;580;1951
66;781;1951
6;622;1951
127;762;1951
105;780;1951
51;697;1951
154;680;1951
105;779;1951
105;747;1951
105;777;1951
126;776;1951
154;708;1951
151;619;1951
151;778;1951
66;661;1951
66;686;1951
6;723;1951
113;766;1951
144;721;1951
154;498;1951
6;633;1951
154;704;1951
133;725;1951
154;765;1951
6;687;1951
154;764;1951
154;660;1951
105;501;1951
113;526;1951
154;741;1951
154;627;1951
133;475;1951
105;589;1951
6;647;1951
51;640;1951
51;763;1951
51;642;1951
6;641;1951
51;579;1951
113;658;1951
113;673;1951
113;770;1951
113;593;1951
156;521;1951
155;769;1951
113;700;1951
113;615;1951
135;653;1951
114;654;1951
150;768;1951
113;611;1951
134;630;1951
149;612;1951
134;734;1951
119;731;1951
113;767;1951
150;518;1951
150;529;1951
113;699;1951
113;534;1951
113;628;1952
113;699;1952
150;529;1952
113;449;1952
139;677;1952
113;732;1952
110;675;1952
110;731;1952
113;521;1952
113;657;1952
111;513;1952
149;730;1952
129;729;1952
113;728;1952
107;727;1952
113;658;1952
113;615;1952
113;520;1952
113;702;1952
113;733;1952
6;647;1952
129;734;1952
113;612;1952
87;578;1952
133;632;1952
6;735;1952
128;660;1952
133;736;1952
144;703;1952
141;737;1952
133;738;1952
152;739;1952
6;642;1952
125;475;1952
6;641;1952
6;723;1952
128;554;1952
148;663;1952
87;689;1952
105;640;1952
6;721;1952
87;688;1952
141;669;1952
6;609;1952
105;501;1952
133;475;1952
133;651;1952
128;626;1952
113;593;1952
133;581;1952
133;725;1952
147;717;1952
144;724;1952
6;627;1952
141;720;1952
114;526;1952
113;509;1952
113;611;1952
110;518;1952
113;656;1952
113;525;1952
113;592;1952
113;726;1952
113;629;1952
6;633;1952
133;660;1952
144;753;1952
145;709;1952
147;712;1952
144;750;1952
145;754;1952
145;715;1952
145;710;1952
6;755;1952
144;756;1952
105;697;1952
144;692;1952
144;757;1952
141;427;1952
105;622;1952
133;758;1952
141;632;1952
105;759;1952
105;498;1952
87;663;1952
151;475;1952
105;762;1952
127;625;1952
105;761;1952
6;717;1952
153;760;1952
144;751;1952
147;752;1952
105;741;1952
133;704;1952
6;740;1952
128;669;1952
126;687;1952
141;660;1952
6;722;1952
125;742;1952
125;743;1952
87;686;1952
6;456;1952
6;687;1952
125;744;1952
6;736;1952
152;749;1952
105;748;1952
87;747;1952
128;427;1952
133;708;1952
148;705;1952
105;746;1952
125;664;1952
126;745;1952
6;627;1953
133;581;1953
125;475;1953
125;664;1953
128;501;1953
125;660;1953
128;643;1953
87;663;1953
125;456;1953
133;651;1953
105;670;1953
128;693;1953
133;632;1953
125;429;1953
105;660;1953
141;681;1953
144;703;1953
87;619;1953
133;704;1953
127;589;1953
87;475;1953
125;669;1953
127;625;1953
113;659;1953
113;700;1953
114;675;1953
134;525;1953
113;701;1953
113;449;1953
113;654;1953
113;613;1953
113;677;1953
114;628;1953
142;673;1953
114;559;1953
105;640;1953
110;518;1953
113;555;1953
113;593;1953
107;528;1953
113;520;1953
114;521;1953
